Symbol	Company	Price	Change%	Open	High	Low	Volume	MarketCap	EPS	PE	52W High	52W Low	Dividend	Yield
SPGI	S&P Global Inc.	$494.19 	1.21%	$490.32 	$496.54 	$489.24 	43,581	$149.64B	$13.75 	35.58	$579.05 (2025-08-14)	$427.14 (2025-04-07)	$3.84 	77.70%
ARM	Arm Holdings plc	$131.44 	-2.43%	$132.00 	$132.50 	$126.92 	79,778	$139.23B	$0.75 	179.61	$183.16 (2025-10-27)	$80.00 (2025-04-07)	$0.00 	0.00%
SPOT	Spotify Technology S.A.	$585.47 	0.08%	$596.68 	$602.37 	$577.78 	83,228	$119.34B	$N/A	N/A	$785.00 (2025-06-27)	$443.21 (2025-01-02)	$0.00 	0.00%
UL	Unilever PLC	$60.23 	1.06%	$59.98 	$60.51 	$59.96 	29,738	$146.86B	$2.74 	22.41	$65.66 (2025-04-22)	$54.32 (2025-02-18)	$2.10 	349.20%
AMGN	Amgen Inc.	$341.11 	2.04%	$335.41 	$341.73 	$335.41 	65,564	$183.68B	$12.95 	25.81	$345.84 (2025-11-13)	$253.30 (2024-12-19)	$9.52 	279.10%
BSX	Boston Scientific Corporation	$101.36 	3.39%	$98.85 	$101.77 	$98.74 	92,094	$150.26B	$1.87 	52.43	$109.50 (2025-09-09)	$85.98 (2025-04-07)	$0.00 	0.00%
LOW	Lowe's Companies Inc.	$238.10 	4.08%	$230.72 	$238.91 	$230.29 	74,073	$133.53B	$12.19 	18.77	$280.64 (2024-12-09)	$206.39 (2025-04-09)	$4.80 	201.60%
COF	Capital One Financial Corporation	$214.45 	2.69%	$208.98 	$215.68 	$208.13 	56,967	$136.33B	$2.37 	29.01	$232.45 (2025-07-23)	$143.22 (2025-04-07)	$3.20 	149.20%
PGR	Progressive Corporation (The)	$226.41 	0.59%	$226.91 	$228.50 	$225.84 	41,862	$132.77B	$18.23 	12.35	$292.99 (2025-03-17)	$199.90 (2025-11-03)	$0.40 	17.70%
ETN	Eaton Corporation PLC	$336.65 	1.88%	$329.99 	$339.07 	$324.71 	101,110	$130.75B	$10.00 	33.24	$399.56 (2025-07-28)	$231.85 (2025-04-07)	$4.16 	123.60%
SYK	Stryker Corporation	$375.08 	1.31%	$372.70 	$376.62 	$371.00 	38,513	$143.44B	$7.61 	48.65	$406.19 (2025-01-28)	$329.16 (2025-04-07)	$3.36 	89.60%
BHP	BHP Group Ltd.	$53.68 	1.42%	$53.54 	$53.96 	$53.31 	34,510	$135.60B	$1.77 	14.98	$58.92 (2025-10-29)	$39.73 (2025-04-08)	$2.40 	447.10%
KLAC	KLA Corporation	$1,145.89 	0.81%	$1,130.19 	$1,148.48 	$1,107.42 	42,937	$150.56B	$31.83 	35.71	$1,284.47 (2025-10-30)	$551.33 (2025-04-07)	$7.60 	66.30%
UNP	Union Pacific Corporation	$229.13 	2.06%	$225.74 	$229.45 	$225.26 	47,659	$135.91B	$11.77 	19.07	$256.84 (2025-01-27)	$204.66 (2025-04-08)	$5.52 	240.90%
GILD	Gilead Sciences Inc.	$127.12 	1.48%	$124.78 	$127.61 	$124.70 	91,315	$157.72B	$6.46 	19.39	$128.70 (2025-11-20)	$88.57 (2025-01-10)	$3.16 	248.60%
TTE	TotalEnergies SE	$65.20 	1.07%	$64.57 	$65.34 	$64.53 	15,703	$141.66B	$5.62 	9.25	$65.76 (2025-03-27)	$52.78 (2025-04-09)	$4.03 	617.60%
TD	Toronto Dominion Bank (The)	$82.31 	-0.47%	$82.50 	$83.02 	$81.94 	21,284	$140.46B	$11.69 	9.85	$83.02 (2025-11-25)	$51.25 (2024-12-20)	$3.01 	365.70%
PANW	Palo Alto Networks Inc.	$186.27 	1.29%	$183.53 	$186.69 	$181.16 	116,089	$129.83B	$1.58 	116.39	$223.61 (2025-10-28)	$144.15 (2025-04-07)	$0.00 	0.00%
PFE	Pfizer Inc.	$25.72 	1.98%	$25.37 	$25.97 	$25.36 	151,901	$146.24B	$1.72 	13.41	$27.69 (2025-10-03)	$20.92 (2025-04-09)	$1.72 	668.70%
